omega_p, tau_s, d_p, d_s, ratio
188.495559, 0.000000, 0.010000, 0.016963, 0.829905
188.495559, 28.419706, 0.010000, 0.016963, 0.829905
188.495559, 56.839411, 0.010000, 0.016963, 0.829905
188.495559, 85.259117, 0.010000, 0.016963, 0.829905
188.495559, 113.678823, 0.006197, 0.013265, 1.418208
188.495559, 142.098529, 0.010000, 0.016963, 0.829905
188.495559, 170.518234, 0.010000, 0.016963, 0.829905
188.495559, 198.937940, 0.010000, 0.016963, 0.829905
188.495559, 227.357646, 0.010000, 0.016963, 0.829905
188.495559, 255.777351, 0.010000, 0.016963, 0.829905
188.495559, 284.197057, 0.010000, 0.016963, 0.829905
188.495559, 312.616763, 0.010000, 0.016963, 0.829905
188.495559, 341.036469, 0.010000, 0.016963, 0.829905
188.495559, 369.456174, 0.010000, 0.016963, 0.829905
188.495559, 397.875880, 0.010000, 0.016963, 0.829905
188.495559, 426.295586, 0.010000, 0.016963, 0.829905
188.495559, 454.715292, 0.010000, 0.016963, 0.829905
188.495559, 483.134997, 0.010000, 0.016963, 0.829905
188.495559, 511.554703, 0.010000, 0.016963, 0.829905
188.495559, 539.974409, 0.010000, 0.016963, 0.829905
195.109438, 0.000000, 0.010000, 0.016963, 0.829905
195.109438, 28.419706, 0.010000, 0.016963, 0.829905
195.109438, 56.839411, 0.010000, 0.016963, 0.829905
195.109438, 85.259117, 0.010000, 0.016963, 0.829905
195.109438, 113.678823, 0.004210, 0.011585, 1.883730
195.109438, 142.098529, 0.009134, 0.016059, 0.941134
195.109438, 170.518234, 0.010000, 0.016963, 0.829905
195.109438, 198.937940, 0.010000, 0.016963, 0.829905
195.109438, 227.357646, 0.010000, 0.016963, 0.829905
195.109438, 255.777351, 0.010000, 0.016963, 0.829905
195.109438, 284.197057, 0.010000, 0.016963, 0.829905
195.109438, 312.616763, 0.010000, 0.016963, 0.829905
195.109438, 341.036469, 0.010000, 0.016963, 0.829905
195.109438, 369.456174, 0.010000, 0.016963, 0.829905
195.109438, 397.875880, 0.010000, 0.016963, 0.829905
195.109438, 426.295586, 0.010000, 0.016963, 0.829905
195.109438, 454.715292, 0.010000, 0.016963, 0.829905
195.109438, 483.134997, 0.010000, 0.016963, 0.829905
195.109438, 511.554703, 0.010000, 0.016963, 0.829905
195.109438, 539.974409, 0.010000, 0.016963, 0.829905
201.723318, 0.000000, 0.010000, 0.016963, 0.829905
201.723318, 28.419706, 0.010000, 0.016963, 0.829905
201.723318, 56.839411, 0.010000, 0.016963, 0.829905
201.723318, 85.259117, 0.010000, 0.016963, 0.829905
201.723318, 113.678823, 0.002307, 0.010113, 2.535522
201.723318, 142.098529, 0.007344, 0.014309, 1.209527
201.723318, 170.518234, 0.010000, 0.016963, 0.829905
201.723318, 198.937940, 0.010000, 0.016963, 0.829905
201.723318, 227.357646, 0.010000, 0.016963, 0.829905
201.723318, 255.777351, 0.010000, 0.016963, 0.829905
201.723318, 284.197057, 0.010000, 0.016963, 0.829905
201.723318, 312.616763, 0.010000, 0.016963, 0.829905
201.723318, 341.036469, 0.010000, 0.016963, 0.829905
201.723318, 369.456174, 0.010000, 0.016963, 0.829905
201.723318, 397.875880, 0.010000, 0.016963, 0.829905
201.723318, 426.295586, 0.010000, 0.016963, 0.829905
201.723318, 454.715292, 0.010000, 0.016963, 0.829905
201.723318, 483.134997, 0.010000, 0.016963, 0.829905
201.723318, 511.554703, 0.010000, 0.016963, 0.829905
201.723318, 539.974409, 0.010000, 0.016963, 0.829905
208.337197, 0.000000, 0.010000, 0.016963, 0.829905
208.337197, 28.419706, 0.010000, 0.016963, 0.829905
208.337197, 56.839411, 0.010000, 0.016963, 0.829905
208.337197, 85.259117, 0.010000, 0.016963, 0.829905
208.337197, 113.678823, 0.000497, 0.008827, 3.522965
208.337197, 142.098529, 0.005590, 0.012735, 1.544268
208.337197, 170.518234, 0.009517, 0.016454, 0.890716
208.337197, 198.937940, 0.010000, 0.016963, 0.829905
208.337197, 227.357646, 0.010000, 0.016963, 0.829905
208.337197, 255.777351, 0.010000, 0.016963, 0.829905
208.337197, 284.197057, 0.010000, 0.016963, 0.829905
208.337197, 312.616763, 0.010000, 0.016963, 0.829905
208.337197, 341.036469, 0.010000, 0.016963, 0.829905
208.337197, 369.456174, 0.010000, 0.016963, 0.829905
208.337197, 397.875880, 0.010000, 0.016963, 0.829905
208.337197, 426.295586, 0.010000, 0.016963, 0.829905
208.337197, 454.715292, 0.010000, 0.016963, 0.829905
208.337197, 483.134997, 0.010000, 0.016963, 0.829905
208.337197, 511.554703, 0.010000, 0.016963, 0.829905
208.337197, 539.974409, 0.010000, 0.016963, 0.829905
214.951076, 0.000000, 0.010000, 0.016963, 0.829905
214.951076, 28.419706, 0.010000, 0.016963, 0.829905
214.951076, 56.839411, 0.010000, 0.016963, 0.829905
214.951076, 85.259117, 0.010000, 0.016963, 0.829905
214.951076, 113.678823, 0.010000, 0.016963, 0.829905
214.951076, 142.098529, 0.003885, 0.011324, 1.977249
214.951076, 170.518234, 0.007919, 0.014855, 1.116749
214.951076, 198.937940, 0.010000, 0.016963, 0.829905
214.951076, 227.357646, 0.010000, 0.016963, 0.829905
214.951076, 255.777351, 0.010000, 0.016963, 0.829905
214.951076, 284.197057, 0.010000, 0.016963, 0.829905
214.951076, 312.616763, 0.010000, 0.016963, 0.829905
214.951076, 341.036469, 0.010000, 0.016963, 0.829905
214.951076, 369.456174, 0.010000, 0.016963, 0.829905
214.951076, 397.875880, 0.010000, 0.016963, 0.829905
214.951076, 426.295586, 0.010000, 0.016963, 0.829905
214.951076, 454.715292, 0.010000, 0.016963, 0.829905
214.951076, 483.134997, 0.010000, 0.016963, 0.829905
214.951076, 511.554703, 0.010000, 0.016963, 0.829905
214.951076, 539.974409, 0.010000, 0.016963, 0.829905
221.564956, 0.000000, 0.010000, 0.016963, 0.829905
221.564956, 28.419706, 0.010000, 0.016963, 0.829905
221.564956, 56.839411, 0.010000, 0.016963, 0.829905
221.564956, 85.259117, 0.010000, 0.016963, 0.829905
221.564956, 113.678823, 0.010000, 0.016963, 0.829905
221.564956, 142.098529, 0.002240, 0.010064, 2.563778
221.564956, 170.518234, 0.006343, 0.013395, 1.389775
221.564956, 198.937940, 0.009614, 0.016555, 0.878252
221.564956, 227.357646, 0.010000, 0.016963, 0.829905
221.564956, 255.777351, 0.010000, 0.016963, 0.829905
221.564956, 284.197057, 0.010000, 0.016963, 0.829905
221.564956, 312.616763, 0.010000, 0.016963, 0.829905
221.564956, 341.036469, 0.010000, 0.016963, 0.829905
221.564956, 369.456174, 0.010000, 0.016963, 0.829905
