omega_p, tau_s, d_p, d_s, ratio, F_sp, F_flyarm, F_ss, F_helix
188.495559, 269.987204, 0.000000, 0.008492, 3.905374, 300.254959, 2792.235102, 134.277919, 4564.897116
188.495559, 284.197057, 0.000000, 0.008492, 3.905374, 300.254959, 2792.235102, 134.277919, 4802.543106
188.495559, 298.406910, 0.000000, 0.008492, 3.905374, 300.254959, 2792.235102, 134.277919, 5040.189097
188.495559, 312.616763, 0.000000, 0.008492, 3.905374, 300.254959, 2792.235102, 134.277919, 5277.835087
188.495559, 326.826616, 0.000000, 0.008492, 3.905374, 300.254959, 2792.235102, 134.277919, 5515.481077
188.495559, 341.036469, 0.000000, 0.008492, 3.905374, 300.254959, 2792.235102, 134.277919, 5753.127068
188.495559, 355.246322, 0.000000, 0.008492, 3.905374, 300.254959, 2792.235102, 134.277919, 5990.773058
188.495559, 369.456174, 0.000000, 0.008492, 3.905374, 300.254959, 2792.235102, 134.277919, 6228.419048
188.495559, 383.666027, 0.000000, 0.008492, 3.905374, 300.254959, 2792.235102, 134.277919, 6466.065039
188.495559, 397.875880, 0.000000, 0.008492, 3.905374, 300.254959, 2792.235102, 134.277919, 6703.711029
188.495559, 412.085733, 0.000000, 0.008492, 3.905374, 300.254959, 2792.235102, 134.277919, 6941.357019
188.495559, 426.295586, 0.000000, 0.008492, 3.905374, 300.254959, 2792.235102, 134.277919, 7179.003010
188.495559, 440.505439, 0.000000, 0.008492, 3.905374, 300.254959, 2792.235102, 134.277919, 7416.649000
188.495559, 454.715292, 0.000000, 0.008492, 3.905374, 300.254959, 2792.235102, 134.277919, 7654.294990
188.495559, 468.925144, 0.000000, 0.008492, 3.905374, 300.254959, 2792.235102, 134.277919, 7891.940981
188.495559, 483.134997, 0.000000, 0.008492, 3.905374, 300.254959, 2792.235102, 134.277919, 8129.586971
188.495559, 497.344850, 0.000000, 0.008492, 3.905374, 300.254959, 2792.235102, 134.277919, 8367.232961
188.495559, 511.554703, 0.000000, 0.008492, 3.905374, 300.254959, 2792.235102, 134.277919, 8604.878952
188.495559, 525.764556, 0.000000, 0.008492, 3.905374, 300.254959, 2792.235102, 134.277919, 8842.524942
188.495559, 539.974409, 0.000000, 0.008492, 3.905374, 300.254959, 2792.235102, 134.277919, 9080.170932
195.109438, 269.987204, 0.000000, 0.008492, 3.905374, 300.254959, 2991.619080, 134.277919, 4564.897116
195.109438, 284.197057, 0.000000, 0.008492, 3.905374, 300.254959, 2991.619080, 134.277919, 4802.543106
195.109438, 298.406910, 0.000000, 0.008492, 3.905374, 300.254959, 2991.619080, 134.277919, 5040.189097
195.109438, 312.616763, 0.000000, 0.008492, 3.905374, 300.254959, 2991.619080, 134.277919, 5277.835087
195.109438, 326.826616, 0.000000, 0.008492, 3.905374, 300.254959, 2991.619080, 134.277919, 5515.481077
195.109438, 341.036469, 0.000000, 0.008492, 3.905374, 300.254959, 2991.619080, 134.277919, 5753.127068
195.109438, 355.246322, 0.000000, 0.008492, 3.905374, 300.254959, 2991.619080, 134.277919, 5990.773058
195.109438, 369.456174, 0.000000, 0.008492, 3.905374, 300.254959, 2991.619080, 134.277919, 6228.419048
195.109438, 383.666027, 0.000000, 0.008492, 3.905374, 300.254959, 2991.619080, 134.277919, 6466.065039
195.109438, 397.875880, 0.000000, 0.008492, 3.905374, 300.254959, 2991.619080, 134.277919, 6703.711029
195.109438, 412.085733, 0.000000, 0.008492, 3.905374, 300.254959, 2991.619080, 134.277919, 6941.357019
195.109438, 426.295586, 0.000000, 0.008492, 3.905374, 300.254959, 2991.619080, 134.277919, 7179.003010
195.109438, 440.505439, 0.000000, 0.008492, 3.905374, 300.254959, 2991.619080, 134.277919, 7416.649000
195.109438, 454.715292, 0.000000, 0.008492, 3.905374, 300.254959, 2991.619080, 134.277919, 7654.294990
195.109438, 468.925144, 0.000000, 0.008492, 3.905374, 300.254959, 2991.619080, 134.277919, 7891.940981
195.109438, 483.134997, 0.000000, 0.008492, 3.905374, 300.254959, 2991.619080, 134.277919, 8129.586971
