omega_p, tau_s, d_p, d_s, ratio, F_sp, F_flyarm, F_ss, F_helix, sum_F
188.495559, 0.000000, 0.005000, 0.012234, 1.679313, 352.793010, 393.704580, 147.383800, 62.208505, 460.276488
188.495559, 14.209853, 0.005000, 0.012234, 1.679313, 352.793010, 393.704580, 147.383800, 299.854495, 1140.788700
188.495559, 28.419706, 0.005000, 0.012234, 1.679313, 352.793010, 393.704580, 147.383800, 537.500486, 1821.300912
188.495559, 42.629559, 0.005000, 0.012234, 1.679313, 352.793010, 393.704580, 147.383800, 775.146476, 2501.813125
188.495559, 56.839411, 0.005000, 0.012234, 1.679313, 352.793010, 393.704580, 147.383800, 1012.792466, 3182.325337
188.495559, 71.049264, 0.000000, 0.008492, 3.905374, 300.254959, 393.704580, 134.277919, 1237.853251, 3095.776668
188.495559, 85.259117, 0.000000, 0.008492, 3.905374, 300.254959, 393.704580, 134.277919, 1475.499241, 3692.970246
188.495559, 99.468970, 0.000000, 0.008492, 3.905374, 300.254959, 393.704580, 134.277919, 1713.145232, 4290.163825
188.495559, 113.678823, 0.000000, 0.008492, 3.905374, 300.254959, 393.704580, 134.277919, 1950.791222, 4887.357403
188.495559, 127.888676, 0.000000, 0.008492, 3.905374, 300.254959, 393.704580, 134.277919, 2188.437212, 5484.550982
188.495559, 142.098529, 0.000000, 0.008492, 3.905374, 300.254959, 393.704580, 134.277919, 2426.083203, 6081.744560
188.495559, 156.308381, 0.000000, 0.008492, 3.905374, 300.254959, 393.704580, 134.277919, 2663.729193, 6678.938139
188.495559, 170.518234, 0.000000, 0.008492, 3.905374, 300.254959, 393.704580, 134.277919, 2901.375183, 7276.131717
188.495559, 184.728087, 0.000000, 0.008492, 3.905374, 300.254959, 393.704580, 134.277919, 3139.021174, 7873.325296
188.495559, 198.937940, 0.000000, 0.008492, 3.905374, 300.254959, 393.704580, 134.277919, 3376.667164, 8470.518874
188.495559, 213.147793, 0.000000, 0.008492, 3.905374, 300.254959, 393.704580, 134.277919, 3614.313154, 9067.712453
188.495559, 227.357646, 0.000000, 0.008492, 3.905374, 300.254959, 393.704580, 134.277919, 3851.959145, 9664.906031
188.495559, 241.567499, 0.000000, 0.008492, 3.905374, 300.254959, 393.704580, 134.277919, 4089.605135, 10262.099610
188.495559, 255.777351, 0.000000, 0.008492, 3.905374, 300.254959, 393.704580, 134.277919, 4327.251125, 10859.293188
188.495559, 269.987204, 0.000000, 0.008492, 3.905374, 300.254959, 393.704580, 134.277919, 4564.897116, 11456.486767
195.109438, 0.000000, 0.005000, 0.012234, 1.679313, 352.793010, 421.817680, 147.383800, 62.208505, 364.140060
195.109438, 14.209853, 0.005000, 0.012234, 1.679313, 352.793010, 421.817680, 147.383800, 299.854495, 1044.652273
195.109438, 28.419706, 0.005000, 0.012234, 1.679313, 352.793010, 421.817680, 147.383800, 537.500486, 1725.164485
195.109438, 42.629559, 0.005000, 0.012234, 1.679313, 352.793010, 421.817680, 147.383800, 775.146476, 2405.676697
195.109438, 56.839411, 0.005000, 0.012234, 1.679313, 352.793010, 421.817680, 147.383800, 1012.792466, 3086.188910
195.109438, 71.049264, 0.005000, 0.012234, 1.679313, 352.793010, 421.817680, 147.383800, 1250.438457, 3766.701122
195.109438, 85.259117, 0.000000, 0.008492, 3.905374, 300.254959, 421.817680, 134.277919, 1475.499241, 3586.977372
195.109438, 99.468970, 0.000000, 0.008492, 3.905374, 300.254959, 421.817680, 134.277919, 1713.145232, 4184.170951
195.109438, 113.678823, 0.000000, 0.008492, 3.905374, 300.254959, 421.817680, 134.277919, 1950.791222, 4781.364529
195.109438, 127.888676, 0.000000, 0.008492, 3.905374, 300.254959, 421.817680, 134.277919, 2188.437212, 5378.558107
195.109438, 142.098529, 0.000000, 0.008492, 3.905374, 300.254959, 421.817680, 134.277919, 2426.083203, 5975.751686
195.109438, 156.308381, 0.000000, 0.008492, 3.905374, 300.254959, 421.817680, 134.277919, 2663.729193, 6572.945264
195.109438, 170.518234, 0.000000, 0.008492, 3.905374, 300.254959, 421.817680, 134.277919, 2901.375183, 7170.138843
195.109438, 184.728087, 0.000000, 0.008492, 3.905374, 300.254959, 421.817680, 134.277919, 3139.021174, 7767.332421
195.109438, 198.937940, 0.000000, 0.008492, 3.905374, 300.254959, 421.817680, 134.277919, 3376.667164, 8364.526000
195.109438, 213.147793, 0.000000, 0.008492, 3.905374, 300.254959, 421.817680, 134.277919, 3614.313154, 8961.719578
