"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Analog4"|"Volts"|0.0|5.0|500,"Analog5"|"Volts"|0.0|5.0|500,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|200,"AccelY"|"G"|-3.0|3.0|200,"AccelZ"|"G"|-3.0|3.0|200,"Yaw"|"Deg/Sec"|-120|120|200,"Pitch"|"Deg/Sec"|-120|120|200,"Roll"|"Deg/Sec"|-120|120|200,"Gsum"|"G"|0.0|3.0|200,"RPM2"|"rpm"|0|8000|50,"RPM3"|"rpm"|0|8000|50,"GPIO1"|""|0.0|1.0|50,"Latitude"|"Degrees"|-180.0|180.0|50,"Longitude"|"Degrees"|-180.0|180.0|50,"Speed"|"mph"|0.0|150.0|50,"Altitude"|"ft"|0.0|4000.0|50,"GPSSats"|""|0|20|50,"GPSQual"|""|0|5|50,"GPSDOP"|""|0.0|20.0|50
157,0,0.01,0.31,,,,,,,,,,,,,,,,,,
163,0,0.0,0.3,,-0.02,0.11,1.04,-0,0,-0,0.11,0,1980,0,0.0,0.0,0.0,0.0,0,0,0.0
165,0,0.0,0.32,,,,,,,,,,,,,,,,,,
167,0,0.0,0.31,,,,,,,,,,,,,,,,,,
169,0,0.0,0.31,,,,,,,,,,,,,,,,,,
171,0,0.0,0.31,,,,,,,,,,,,,,,,,,
173,0,0.0,0.31,,-0.16,0.07,0.92,0,-0,-1,0.18,,,,,,,,,,
175,0,0.0,0.31,,,,,,,,,,,,,,,,,,
177,0,0.0,0.31,,,,,,,,,,,,,,,,,,
179,0,0.0,0.31,,,,,,,,,,,,,,,,,,
181,0,0.0,0.31,,,,,,,,,,,,,,,,,,
183,0,0.0,0.31,,0.0,0.05,1.03,0,-0,-0,0.05,0,1920,0,0.0,0.0,0.0,0.0,0,0,0.0
187,0,0.0,0.31,,,,,,,,,,,,,,,,,,
189,0,0.0,0.31,,,,,,,,,,,,,,,,,,
191,0,0.0,0.31,,,,,,,,,,,,,,,,,,
193,0,0.0,0.31,,0.0,0.07,1.0,-0,0,-0,0.07,,,,,,,,,,
195,0,0.0,0.33,,,,,,,,,,,,,,,,,,
197,0,0.0,0.31,,,,,,,,,,,,,,,,,,
199,0,0.0,0.31,,,,,,,,,,,,,,,,,,
