logfile,engine_rpm_header,wheel_rpm_header,idle,k_p,m_fly,k_s,kappa_s,theta_helix,pretension,t_start,t_end
8-6-24-tune1-2.log,RPM3,RPM2,1980,60,536,14.65,0.592,38,6,28503,33963
8-6-24-tune1-3.log,RPM3,RPM2,1980,60,536,14.65,0.592,38,6,14423,19903
8-6-24-tune1-4.log,RPM3,RPM2,1980,60,536,14.65,0.592,38,6,14223,19743
8-6-24-tune1-5.log,RPM3,RPM2,1980,60,536,14.65,0.592,38,6,24323,29743
8-6-24-tune3-1.log,RPM3,RPM2,2100,60,536,14.65,0.592,38,4,23163,28803
8-6-24-tune4-1.log,RPM3,RPM2,2220,60,536,14.65,0.592,28,4,51163,56963
8-6-24-tune4-2.log,RPM3,RPM2,2100,60,536,14.65,0.592,28,4,7723,13483
8-6-24-tune4-3.log,RPM3,RPM2,2040,60,536,14.65,0.592,28,4,20963,26743
8-6-24-tune4-4.log,RPM3,RPM2,2040,60,536,14.65,0.592,28,4,11863,16743
8-6-24-tune4-5.log,RPM3,RPM2,2040,60,536,14.65,0.592,28,4,13163,19003
8-6-24-tune5-1.log,RPM3,RPM2,2040,60,536,14.65,0.592,28,6,17463,23363
8-6-24-tune5-3.log,RPM3,RPM2,2040,60,536,14.65,0.592,28,6,10203,16203
8-6-24-tune5-4.log,RPM3,RPM2,2040,60,536,14.65,0.592,28,6,10983,16523
8-6-24-tune5-5.log,RPM3,RPM2,2100,60,536,14.65,0.592,28,6,9583,15643
