"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Analog4"|"Volts"|0.0|5.0|500,"Analog5"|"Volts"|0.0|5.0|500,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|200,"AccelY"|"G"|-3.0|3.0|200,"AccelZ"|"G"|-3.0|3.0|200,"Yaw"|"Deg/Sec"|-120|120|200,"Pitch"|"Deg/Sec"|-120|120|200,"Roll"|"Deg/Sec"|-120|120|200,"Gsum"|"G"|0.0|3.0|200,"RPM2"|"rpm"|0|8000|50,"RPM3"|"rpm"|0|8000|50,"GPIO1"|""|0.0|1.0|50,"Latitude"|"Degrees"|-180.0|180.0|50,"Longitude"|"Degrees"|-180.0|180.0|50,"Speed"|"mph"|0.0|150.0|50,"Altitude"|"ft"|0.0|4000.0|50,"GPSSats"|""|0|20|50,"GPSQual"|""|0|5|50,"GPSDOP"|""|0.0|20.0|50
105,0,0.0,0.27,,,,,,,,,,,,,,,,,,
107,0,0.0,0.27,,,,,,,,,,,,,,,,,,
109,0,0.0,0.27,,,,,,,,,,,,,,,,,,
111,0,0.0,0.27,,,,,,,,,,,,,,,,,,
113,0,0.0,0.27,,0.06,0.02,0.88,0,-1,-0,0.06,,,,,,,,,,
115,0,0.0,0.28,,,,,,,,,,,,,,,,,,
117,0,0.0,0.27,,,,,,,,,,,,,,,,,,
119,0,0.0,0.28,,,,,,,,,,,,,,,,,,
121,0,0.0,0.27,,,,,,,,,,,,,,,,,,
123,0,0.0,0.27,,-0.05,0.12,0.97,-0,-0,-0,0.13,0,2100,0,0.0,0.0,0.0,0.0,0,0,0.0
125,0,0.0,0.27,,,,,,,,,,,,,,,,,,
127,0,0.0,0.27,,,,,,,,,,,,,,,,,,
129,0,0.0,0.27,,,,,,,,,,,,,,,,,,
131,0,0.0,0.27,,,,,,,,,,,,,,,,,,
133,0,0.0,0.27,,-0.12,0.09,1.04,1,-1,-0,0.15,,,,,,,,,,
135,0,0.0,0.27,,,,,,,,,,,,,,,,,,
